id,brand,title,sold_price,actual_price,url,img
1,Aqualogica,"Aqualogica Glow+ Dewy Sunscreen SPF 50 PA+++ For UVA/B & Blue Light Protection, for Glowing & Well Protected Skin, Cream, 50G",₹351,₹399,https://www.amazon.in/Aqualogica-Sunscreen-Protection-Glowing-Protected/dp/B09TPFTJNN/ref=sr_1_49?qid=1679212359&s=apparel&sr=1-49,https://m.media-amazon.com/images/I/51TSC6UogxL._AC_UL320_.jpg
2,MARVIK,MARVIK Soft Silicone Adjustable Band Strap Compatible for Oneplus Smart Band & Oppo Smart Band,₹249,₹999,https://www.amazon.in/MARVIK-Silicone-Adjustable-Compatible-Oneplus/dp/B0B7J1QG1F/ref=sr_1_50?qid=1679212359&s=apparel&sr=1-50,https://m.media-amazon.com/images/I/51vYDop04SL._AC_UL320_.jpg
3,Black,Black and White and Blue: Adult Cinema From the Victorian Age to the VCR,₹584.16,₹584.16,https://www.amazon.in/Black-White-Blue-Cinema-Victorian-ebook/dp/B001TV00YK/ref=sr_1_52?qid=1679212359&s=apparel&sr=1-52,https://m.media-amazon.com/images/I/51RIhaW3t1L._AC_UL320_.jpg
4,SAFARI,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),₹299,₹799,https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_53?qid=1679212359&s=apparel&sr=1-53,https://m.media-amazon.com/images/I/61kmCas5OCL._AC_UL320_.jpg
5,Noise,"Noise ColorFit Pulse Grand Smart Watch with 1.69""(4.29cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2,...","₹1,299","₹3,999",https://www.amazon.in/Noise-ColorFit-Display-Monitoring-Smartwatches/dp/B09NVPSCQT/ref=sr_1_55?qid=1679212359&s=apparel&sr=1-55,https://m.media-amazon.com/images/I/61Q0R5cdxWL._AC_UL320_.jpg
6,New,New Fastrack Reflex Beat+ 1.69” UltraVU Display|500 Nits Brightness|60 Sports Modes|24*7 Heart Rate Monitor|SpO2 Monitor|S...,"₹1,695","₹3,495",https://www.amazon.in/Fastrack-Smartwatch-UltraVU-Brightness-Watchfaces/dp/B0BRSPMSXD/ref=sr_1_56?qid=1679212359&s=apparel&sr=1-56,https://m.media-amazon.com/images/I/71E-b8o-1hL._AC_UL320_.jpg
7,Soundproof,"Soundproof Earmuffs, Anti-Noise Earmuffs Lightweight Compact Adjustment Foldable for Worker for for Shooter(Green)","₹3,619","₹7,238",https://www.amazon.in/Soundproof-Earmuffs-Anti-Noise-Lightweight-Adjustment/dp/B09FS7Z8B8/ref=sr_1_57?qid=1679212359&s=apparel&sr=1-57,https://m.media-amazon.com/images/I/51qHSeg28PS._AC_UL320_.jpg
8,ZORBES,"ZORBES® Dust Cover for SONY PS5 Console, Dust Proof Cover Protective Case Anti Scratch Waterproof Case for Sony PlayStatio...",₹939,"₹1,262",https://www.amazon.in/ZORBES%C2%AE-Dust-Cover-SONY-Console/dp/B09ZQS9P5T/ref=sr_1_58?qid=1679212359&s=apparel&sr=1-58,https://m.media-amazon.com/images/I/41YdhN7LJ+L._AC_UL320_.jpg
9,Phonic,Phonic Reader (Illustrated) (Set of 6 Books) - Story Book for Kids - Bedtime Stories - 2 Years to 6 Years Old - Read Aloud...,₹151,₹240,https://www.amazon.in/Phonic-Reader-Illustrated-Set-Books/dp/9394668772/ref=sr_1_59?qid=1679212359&s=apparel&sr=1-59,https://m.media-amazon.com/images/I/914BVlcXuAL._AC_UL320_.jpg
10,Brado,Brado Jewellery Multi Wearing Heart Necklace 4 Heart Magnetic Rose Gold Necklace Pendant Heart Toggle Necklace Diamond Wom...,₹187,₹999,https://www.amazon.in/Brado-Jewellery-Necklace-Magnetic-Accessories/dp/B09PYB4XJT/ref=sr_1_60?qid=1679212359&s=apparel&sr=1-60,https://m.media-amazon.com/images/I/51R3cy1wVmL._AC_UL320_.jpg
